Order ID,Order Date,Origin Port,Carrier,Traffic Level,Customer ID,Product ID,Destination Port,Unit Quantity,Weight,Cost Per Unit,Total Cost
1,2023-08-02,Port 93,V44_1,1,4399,36,Port 53,13,345,48.48,630.24
2,2020-08-16,Port 93,V44_5,4,9756,10,Port 73,345,926,47.68,16449.6
3,2020-02-21,Port 95,V44_7,1,5399,13,Port 71,76,580,62.82,4774.32
4,2021-07-17,Port 17,V44_9,4,6865,5,Port 2,370,445,90.28,33403.6
5,2021-05-16,Port 67,V44_12,4,8202,87,Port 13,23,875,76.98,1770.54
6,2021-04-02,Port 70,V44_7,1,6991,80,Port 35,101,290,21.23,2144.23
7,2020-10-12,Port 37,V44_2,3,3924,39,Port 24,208,771,54.82,11402.56
8,2020-07-28,Port 28,V44_2,5,7784,81,Port 87,109,848,14.48,1578.32
9,2023-10-17,Port 12,V44_2,5,3945,94,Port 51,122,690,83.13,10141.86
10,2023-01-21,Port 66,V44_5,4,8366,27,Port 35,62,254,67.94,4212.28
11,2020-06-27,Port 71,V44_11,2,9362,41,Port 64,199,371,37.51,7464.49
12,2023-04-24,Port 40,V44_6,1,8724,39,Port 10,270,822,63.42,17123.4
13,2022-05-14,Port 67,V44_8,5,2808,51,Port 8,163,219,86.37,14078.31
14,2020-03-06,Port 44,V44_7,3,5243,25,Port 55,65,595,13.59,883.35
15,2020-03-02,Port 97,V44_9,4,6348,87,Port 70,461,271,29.55,13622.55
16,2020-07-10,Port 82,V44_4,1,6087,9,Port 4,441,33,34.92,15399.72
17,2021-03-23,Port 21,V44_3,1,6363,97,Port 10,116,898,35.61,4130.76
18,2021-04-21,Port 3,V44_2,1,7632,46,Port 58,95,952,11.28,1071.6
19,2022-10-31,Port 4,V44_1,4,8472,95,Port 60,149,205,29.36,4374.64
20,2023-05-17,Port 70,V44_3,1,4677,89,Port 98,206,14,47.81,9848.86
21,2020-02-24,Port 76,V44_2,1,2321,33,Port 3,84,284,48.86,4104.24
22,2023-02-23,Port 34,V44_10,3,1284,90,Port 28,383,368,69.2,26503.6
23,2021-02-11,Port 31,V44_3,2,3043,71,Port 11,25,342,74.7,1867.5
24,2023-08-23,Port 100,V44_11,3,8664,84,Port 52,175,775,84.53,14792.75
25,2023-12-07,Port 39,V44_4,2,2613,18,Port 25,444,753,98.86,43893.84
26,2023-01-21,Port 93,V44_8,1,1242,27,Port 58,90,649,71.01,6390.9
27,2022-05-09,Port 55,V44_11,2,3499,77,Port 100,344,340,62.13,21372.72
28,2021-03-27,Port 65,V44_9,4,7681,24,Port 6,1,196,30.92,30.92
29,2022-07-08,Port 15,V44_6,4,1679,93,Port 44,385,714,29.53,11369.05
30,2023-04-21,Port 94,V44_9,4,4207,85,Port 88,494,785,98.19,48505.86
31,2021-07-23,Port 8,V44_5,3,6899,13,Port 2,205,373,78.13,16016.65
32,2020-01-14,Port 48,V44_8,5,5377,37,Port 5,17,979,71.04,1207.68
33,2020-11-22,Port 34,V44_2,3,5527,4,Port 38,483,10,75.89,36654.87
34,2023-11-30,Port 81,V44_11,2,4295,84,Port 75,239,465,26.0,6214.0
35,2022-05-15,Port 65,V44_3,5,4440,58,Port 26,202,998,51.02,10306.04
36,2021-11-27,Port 46,V44_10,1,5477,80,Port 27,438,225,92.8,40646.4
37,2021-07-23,Port 16,V44_7,5,5710,95,Port 24,380,923,33.79,12840.2
